"","id","latitude","longitude"
"582",5093483294,33.764547,-84.349325
"583",5093483164,33.764547,-84.349325
"584",5093483078,33.764547,-84.349325
"585",5092883627,33.764547,-84.349325
"586",5093482636,33.764547,-84.349325
"587",5092882843,33.764547,-84.349325
"588",5093482184,33.764547,-84.349325
"589",5092882559,33.764547,-84.349325
"590",5092882307,33.764547,-84.349325
"591",5092882235,33.764547,-84.349325
"592",5092882175,33.764547,-84.349325
"593",5093481370,33.764547,-84.349325
"594",5093481184,33.764547,-84.349325
"595",5093481040,33.764547,-84.349325
"596",5092881383,33.764547,-84.349325
"597",5093480606,33.764547,-84.349325
"598",5093480444,33.764547,-84.349325
"599",5092880735,33.764547,-84.349325
"600",5093480102,33.764547,-84.349325
"601",5093479914,33.764547,-84.349325
"602",5092880193,33.764547,-84.349325
"603",5093479610,33.764547,-84.349325
"604",5092879751,33.764547,-84.349325
"605",5092879603,33.764547,-84.349325
"606",5092879457,33.764547,-84.349325
"607",5093478924,33.764547,-84.349325
"608",5092879253,33.764547,-84.349325
"609",5092879117,33.764547,-84.349325
"610",5092879013,33.764547,-84.349325
"611",5092878899,33.764547,-84.349325
"612",5093478306,33.764547,-84.349325
"613",5092878591,33.764547,-84.349325
"614",5092878345,33.764547,-84.349325
"615",5092878189,33.764547,-84.349325
"616",5093477290,33.764547,-84.349325
"617",5092877685,33.764547,-84.349325
"618",5093476980,33.764547,-84.349325
"619",5092877419,33.764547,-84.349325
"620",5092877177,33.764547,-84.349325
"621",5092876735,33.764547,-84.349325
"622",5093476160,33.764547,-84.349325
"623",5092876487,33.764547,-84.349325
"624",5093475800,33.764547,-84.349325
"625",5093475728,33.764547,-84.349325
"626",5093475548,33.764547,-84.349325
"627",5092875961,33.764547,-84.349325
"628",5093475254,33.764547,-84.349325
"629",5092875759,33.764547,-84.349325
"630",5092875677,33.764547,-84.349325
"631",5093474872,33.764547,-84.349325
"632",5092875011,33.764547,-84.349325
"633",5093474166,33.764547,-84.349325
"634",5093473966,33.764547,-84.349325
"635",5093473924,33.764547,-84.349325
"636",5093473876,33.764547,-84.349325
"637",5092874345,33.764547,-84.349325
"640",5085280792,33.724161,-84.371051
"641",5084685225,33.724161,-84.371051
"642",5084685201,33.724161,-84.371051
"643",5085280730,33.724161,-84.371051
"644",5085280670,33.724161,-84.371051
"645",5084685037,33.724161,-84.371051
"646",5085280632,33.724161,-84.371051
"647",5085280622,33.724161,-84.371051
"648",5084684941,33.724161,-84.371051
"649",5085280580,33.724161,-84.371051
"650",5085280510,33.724161,-84.371051
"651",5084684907,33.724161,-84.371051
"652",5085280454,33.724161,-84.371051
"653",5084684787,33.723305,-84.370986
"657",5073229877,34.839154,-85.035413
"662",5064815133,8.394601,-83.279457
"663",5063324054,35.8474,-82.092658
"668",5446771395,37.52911,-77.445228
"670",5230823904,37.52683,-77.416164
"675",5202895758,34.069222,-118.443931
"676",5202893356,34.069222,-118.443931
"685",5164764641,32.403079,-81.731712
"687",5155832015,39.221481,-76.763019
"688",5144458049,35.800263,-78.633028
"689",5144455755,35.800268,-78.633061
"691",5616344972,19.85394,-155.152884
"698",5256167868,33.487845,-86.805172
"706",5391174863,38.653224,-121.269018
"719",5330678105,12.796401,-85.363769
"720",5330677659,12.799749,-85.410461
"737",5554706963,20.122849,106.136002
"738",5555290900,20.122849,106.136002
"741",5481184048,36.068988,-79.7947
"743",5465591105,29.937005,-90.082366
"745",5448074882,34.888839,-82.304458
"746",5423256713,29.636581,-82.237644
"747",5417131863,33.004929,-96.856766
"748",5415068634,34.945598,-79.876098
"750",5409099083,34.945598,-79.876098
"753",5593699952,32.987993,-96.840947
"754",5593109487,32.987993,-96.840947
"755",5593698282,32.987993,-96.840947
"756",5593107787,32.987993,-96.840947
"757",5593107379,32.987993,-96.840947
"758",5593106941,32.987993,-96.840947
"759",5593106573,32.987993,-96.840947
"760",5593106123,32.987993,-96.840947
"762",5571924622,35.965208,-79.057403
"763",5571924536,35.965208,-79.057403
"764",5571335279,35.965208,-79.057403
"765",5571924260,35.965208,-79.057403
"766",5569423271,-17.6865,168.5503
"767",5569922526,36.421913,-82.55606
"768",5564157857,38.779655,-77.05096
"770",5558600220,35.869873,-78.622992
"771",5558017513,35.869873,-78.622992
"772",5558017485,35.869873,-78.622992
"773",5558599914,35.869873,-78.622992
"774",5558017323,35.869873,-78.622992
"775",5558017263,35.869873,-78.622992
"776",5558599730,35.869873,-78.622992
"777",5558017187,35.869873,-78.622992
"778",5558017159,35.869873,-78.622992
"779",5558017037,35.869873,-78.622992
"780",5558599482,35.869873,-78.622992
"781",5558599420,35.869873,-78.622992
"782",5558599328,35.869873,-78.622992
"783",5558599296,35.869873,-78.622992
"784",5556954260,30.429072,-91.101958
"789",5520021101,33.847803,-84.482073
"798",5828337146,35.346828,-83.557945
"807",5657938888,33.552124,-84.293832
"815",5628254801,31.239893,-89.635026
"846",5801226137,34.969302,-82.44338
"847",5801224953,34.969302,-82.44338
"848",5801775386,34.969302,-82.44338
"850",5776580562,33.815372,-84.435167
"856",5765321396,33.736667,-84.347
"863",5757188810,35.719409,-81.990602
"865",5739245776,33.222,-97.154834
"866",5734660613,35.07291,-82.443316
"867",5725519344,33.317166,-84.285834
"868",5724919945,33.317166,-84.285834
"869",5716797477,32.356473,-88.706231
"870",5713535001,36.450051,-83.056769
"871",5704729243,36.448903,-83.055953
"872",5705294922,36.45031,-83.057992
"874",5695653097,34.377349,-82.347801
"877",6949244650,38.486058,-76.515389
"882",5931874968,35.896629,-88.07072
"883",5931874194,35.871841,-88.143241
"884",5929113718,39.181208,-93.880662
"891",5857284015,34.126266,-84.29482
"892",5857808704,34.126266,-84.29482
"893",5853627915,34.126266,-84.29482
"894",5853615359,34.126266,-84.29482
"895",5853595623,34.126266,-84.29482
"896",5853579143,34.126266,-84.29482
"897",5840053813,34.126266,-84.29482
"927",5819914549,33.520771,-86.79138
"929",5806328900,39.090987,-77.179046
"931",32458375083,35.773257,-77.557983
"935",6280741931,35.618398,-82.206922
"936",6266105959,33.03328,-84.714331
"938",6030963127,35.591636,-82.550765
"947",5979247446,33.773249,-84.364453
"949",5952338889,34.125447,-84.092627
"954",5942235278,36.242373,-80.853334
"958",5936145610,35.777775,-78.650549
"965",5921796665,36.385822,-83.082915
"966",5920754291,35.987411,-78.907681
"969",5913220216,35.418153,-83.435668
"972",8546705575,33.175437,-84.025583
"973",7665336950,34.677291,135.82775
"984",6087622600,39.753333,-84.1855
"990",6072483059,35.230336,-77.228736
"992",6071734890,32.066064,-87.773369
"993",6071190173,32.066064,-87.773369
"994",6071734464,32.066064,-87.773369
"995",6067346847,33.474685,-81.966258
"1010",6052838592,35.749124,-83.670501
"1013",6046087660,40.402295,-80.092445
"1027",6025679562,34.752755,-77.094326
"1028",6023941124,36.794663,-82.090487
"1029",6023377149,36.794663,-82.090487
"1030",6023931150,36.794663,-82.090487
"1031",6023929446,36.794663,-82.090487
"1032",6023927340,36.794663,-82.090487
"1033",6023370115,36.794663,-82.090487
"1034",6023368005,36.794663,-82.090487
"1035",6019955231,37.676314,-79.219021
"1036",5999180991,52.440734,-0.514984
"1037",5997938742,35.036321,-77.244186
"1041",7658865988,35.795688,-82.962377
"1043",6332667576,34.612786,-86.858296
"1047",6187705785,34.760247,-82.755315
"1048",6187681113,34.760247,-82.755315
"1051",6184874697,34.760247,-82.755315
"1053",6183848226,35.858413,-82.03989
"1054",6183322907,35.858413,-82.03989
"1060",6164201645,33.782329,-84.273544
"1061",6164199997,33.782329,-84.273544
"1062",6164198699,33.782329,-84.273544
"1063",6164732594,33.782329,-84.273544
"1066",6161967012,33.775339,-84.303009
"1072",6134642780,35.939968,-84.569921
"1073",6134642738,35.939968,-84.569921
"1074",6134642692,35.939968,-84.569921
"1081",7922870784,36.114178,-81.080961
"1088",6307891058,35.452886,-82.28945
"1096",6280156392,33.646604,-86.824886
"1108",6200875625,37.25505,-81.050273
"1115",6332832657,34.369086,-89.522438
"1116",6332534363,40.718875,-73.960853
"1119",6737482743,36.449801,-83.057756
"1125",6527729823,33.782875,-84.274063
"1138",6623102371,37.759833,-122.456
"1139",23923888194,35.01571,-85.331518
"1142",6926236863,15.462163,74.087197
"1143",6780119160,15.462361,74.087425
"1144",6780116950,15.462361,74.087425
"1145",6780115088,15.462319,74.087452
"1149",6845032053,-34.886903,138.657986
"1150",6845031057,-34.886912,138.657785
"1151",6845030693,-34.887012,138.657861
"1152",6845030299,-34.887012,138.657861
"1153",6845028547,-34.886998,138.65788
"1163",6863635814,40.718981,-73.961055
